run_id,angle_deg,v0_measured,range_measured
1,15,20.305,21.073
2,15,18.96,18.246
3,15,20.75,21.963
4,15,20.941,22.117
5,15,18.049,16.884
6,15,18.698,18.071
7,30,20.066,35.845
8,30,21.127,39.43
9,30,20.468,36.964
10,30,19.141,32.172
11,30,20.369,37.03
12,30,19.041,31.993
13,45,19.572,39.729
14,45,19.648,39.27
15,45,20.532,42.864
16,45,20.365,42.077
17,45,20.413,42.703
18,45,20.431,42.932
19,60,19.886,34.747
20,60,19.16,32.51
21,60,19.176,32.529
22,60,20.651,37.751
23,60,20.743,38.285
24,60,20.543,37.361
25,75,20.679,21.676
26,75,20.068,20.355
27,75,20.289,20.92
28,75,20.631,22.165
29,75,18.543,17.283
30,75,19.68,20.051
