run_id,angle_deg,v0_measured,range_measured
1,15,20.034,20.702
2,15,21.36,22.723
3,15,21.225,23.454
4,15,19.49,19.351
5,15,,20.009
6,15,19.473,19.305
7,15,20.57,21.474
8,15,19.944,20.433
9,30,20.825,37.746
10,30,19.797,34.391
11,30,19.847,34.67
12,30,20.686,37.455
13,30,19.13,31.891
14,30,18.486,30.209
15,30,20.395,37.027
16,30,19.329,32.947
17,45,19.256,37.942
18,45,20.385,42.477
19,45,20.717,44.126
20,45,19.7,39.216
21,45,20.545,42.871
22,45,21.043,44.932
23,45,19.793,
24,45,19.186,37.601
25,60,20.528,37.422
26,60,19.261,32.966
27,60,21.386,39.885
28,60,20.822,38.417
29,60,20.627,37.525
30,60,20.402,37.017
31,60,20.956,53.675
32,60,18.668,30.791
33,75,20.343,21.06
34,75,19.124,18.849
35,75,20.599,22.026
36,75,19.895,20.732
37,75,20.492,20.954
38,75,19.478,19.622
39,75,21.086,22.825
40,75,20.605,21.634
